#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Sound Card
#Serial Number: 
#Date Time: 2021-03-02 17:08:58.776
#Sample rate: 96000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.05725060483870967,-0.067779541015625,-0.067779541015625
-0.05724018817204301,-0.0794677734375,-0.0794677734375
-0.05722977150537634,-0.090576171875,-0.090576171875
-0.05721935483870967,-0.100860595703125,-0.100860595703125
-0.05720893817204301,-0.110382080078125,-0.11041259765625
-0.05719852150537634,-0.119354248046875,-0.11932373046875
-0.05718810483870967,-0.127777099609375,-0.127777099609375
-0.05717768817204301,-0.1356201171875,-0.135650634765625
-0.05716727150537634,-0.14276123046875,-0.142791748046875
-0.05715685483870967,-0.1494140625,-0.1494140625
-0.05714643817204301,-0.15570068359375,-0.155731201171875
-0.05713602150537634,-0.16162109375,-0.161651611328125
-0.05712560483870967,-0.166961669921875,-0.16693115234375
-0.05711518817204301,-0.171844482421875,-0.171844482421875
-0.05710477150537634,-0.176483154296875,-0.17645263671875
-0.05709435483870967,-0.180816650390625,-0.1807861328125
-0.05708393817204301,-0.184814453125,-0.184783935546875
-0.05707352150537634,-0.188323974609375,-0.1883544921875
-0.05706310483870967,-0.191619873046875,-0.191619873046875
-0.05705268817204301,-0.1947021484375,-0.194671630859375
-0.05704227150537634,-0.197357177734375,-0.197357177734375
-0.05703185483870967,-0.1995849609375,-0.1995849609375
-0.05702143817204301,-0.201690673828125,-0.201690673828125
-0.05701102150537634,-0.203826904296875,-0.203826904296875
-0.05700060483870967,-0.2056884765625,-0.205657958984375
-0.05699018817204301,-0.206939697265625,-0.206939697265625
-0.05697977150537634,-0.208160400390625,-0.208160400390625
-0.05696935483870968,-0.209808349609375,-0.209808349609375
-0.05695893817204301,-0.21136474609375,-0.21136474609375
-0.05694852150537634,-0.2119140625,-0.211883544921875
-0.05693810483870967,-0.212066650390625,-0.21209716796875
-0.05692768817204301,-0.21380615234375,-0.21380615234375
-0.05691727150537634,-0.217010498046875,-0.217010498046875
-0.05690685483870968,-0.216888427734375,-0.2169189453125
-0.05689643817204301,-0.207061767578125,-0.20703125
-0.05688602150537634,-0.185333251953125,-0.185333251953125
-0.05687560483870967,-0.15667724609375,-0.15667724609375
-0.05686518817204301,-0.128204345703125,-0.12823486328125
-0.05685477150537634,-0.10357666015625,-0.103546142578125
-0.05684435483870968,-0.08160400390625,-0.081634521484375
-0.05683393817204301,-0.06048583984375,-0.06048583984375
-0.05682352150537634,-0.040008544921875,-0.03997802734375
-0.05681310483870967,-0.02117919921875,-0.021148681640625
-0.05680268817204301,-0.004058837890625,-0.004058837890625
-0.05679227150537634,0.0120849609375,0.0120849609375
-0.05678185483870968,0.02752685546875,0.027557373046875
-0.05677143817204301,0.0419921875,0.0419921875
-0.05676102150537634,0.05523681640625,0.055206298828125
-0.05675060483870967,0.0675048828125,0.0675048828125
-0.05674018817204301,0.0792236328125,0.0792236328125
-0.05672977150537634,0.090362548828125,0.09039306640625
-0.05671935483870968,0.100738525390625,0.100738525390625
-0.05670893817204301,0.1103515625,0.1103515625
-0.05669852150537634,0.119384765625,0.119384765625
-0.05668810483870967,0.127899169921875,0.127899169921875
-0.05667768817204301,0.135711669921875,0.1357421875
-0.05666727150537634,0.1429443359375,0.142974853515625
-0.05665685483870968,0.149688720703125,0.149688720703125
-0.05664643817204301,0.156005859375,0.156036376953125
-0.05663602150537634,0.161895751953125,0.161865234375
-0.05662560483870967,0.167205810546875,0.167236328125
-0.05661518817204301,0.17218017578125,0.17218017578125
-0.05660477150537634,0.1768798828125,0.1768798828125
-0.05659435483870968,0.1812744140625,0.1812744140625
-0.05658393817204301,0.1851806640625,0.185211181640625
-0.05657352150537634,0.188751220703125,0.18878173828125
-0.05656310483870967,0.192108154296875,0.192108154296875
-0.05655268817204301,0.1951904296875,0.195220947265625
-0.05654227150537634,0.19781494140625,0.19781494140625
-0.05653185483870968,0.20001220703125,0.20001220703125
-0.05652143817204301,0.2021484375,0.202178955078125
-0.05651102150537634,0.204376220703125,0.20440673828125
-0.05650060483870967,0.206268310546875,0.206268310546875
-0.05649018817204301,0.207489013671875,0.20751953125
-0.05647977150537634,0.20867919921875,0.20867919921875
-0.05646935483870968,0.210357666015625,0.210357666015625
-0.05645893817204301,0.21197509765625,0.21197509765625
-0.05644852150537634,0.2125244140625,0.212493896484375
-0.05643810483870967,0.21258544921875,0.212615966796875
-0.05642768817204301,0.21435546875,0.21435546875
-0.05641727150537634,0.2176513671875,0.2176513671875
-0.05640685483870968,0.217620849609375,0.217620849609375
-0.056396438172043,0.207672119140625,0.207611083984375
-0.05638602150537634,0.1856689453125,0.1856689453125
-0.05637560483870967,0.1566162109375,0.156585693359375
-0.05636518817204301,0.1278076171875,0.1278076171875
-0.05635477150537634,0.10296630859375,0.10296630859375
-0.05634435483870968,0.081024169921875,0.081024169921875
-0.056333938172043,0.059906005859375,0.059906005859375
-0.05632352150537634,0.039459228515625,0.039459228515625
-0.05631310483870967,0.0206298828125,0.0206298828125
-0.05630268817204301,0.0035400390625,0.0035400390625
-0.05629227150537634,-0.012481689453125,-0.012481689453125
-0.05628185483870968,-0.027862548828125,-0.02789306640625
-0.056271438172043,-0.042327880859375,-0.042327880859375
-0.05626102150537634,-0.055572509765625,-0.055572509765625
-0.05625060483870967,-0.06781005859375,-0.067840576171875
-0.05624018817204301,-0.0794677734375,-0.079437255859375
-0.05622977150537634,-0.090545654296875,-0.090545654296875
-0.05621935483870968,-0.100860595703125,-0.100860595703125
-0.056208938172043,-0.110382080078125,-0.11041259765625
-0.05619852150537634,-0.119384765625,-0.119384765625
-0.05618810483870967,-0.1278076171875,-0.1278076171875
-0.05617768817204301,-0.1356201171875,-0.1356201171875
-0.05616727150537634,-0.14276123046875,-0.14276123046875
-0.05615685483870968,-0.14947509765625,-0.14947509765625
-0.056146438172043,-0.15576171875,-0.155731201171875
-0.05613602150537634,-0.16156005859375,-0.161590576171875
-0.05612560483870967,-0.166900634765625,-0.16693115234375
-0.05611518817204301,-0.171844482421875,-0.171844482421875
-0.05610477150537634,-0.176544189453125,-0.176544189453125
-0.05609435483870968,-0.180877685546875,-0.180877685546875
-0.056083938172043,-0.184783935546875,-0.184814453125
-0.05607352150537634,-0.1883544921875,-0.1883544921875
-0.05606310483870967,-0.19171142578125,-0.19171142578125
-0.05605268817204301,-0.194793701171875,-0.194793701171875
-0.05604227150537634,-0.197357177734375,-0.197357177734375
-0.05603185483870968,-0.199554443359375,-0.19952392578125
-0.056021438172043,-0.201629638671875,-0.20166015625
-0.05601102150537634,-0.203887939453125,-0.20391845703125
-0.05600060483870967,-0.205810546875,-0.205810546875
-0.05599018817204301,-0.20709228515625,-0.207061767578125
-0.05597977150537634,-0.2081298828125,-0.208160400390625
-0.05596935483870968,-0.20977783203125,-0.209808349609375
-0.055958938172043,-0.21136474609375,-0.211334228515625
-0.05594852150537634,-0.211944580078125,-0.211944580078125
-0.05593810483870967,-0.21209716796875,-0.21209716796875
-0.05592768817204301,-0.21380615234375,-0.213836669921875
-0.05591727150537634,-0.217010498046875,-0.217041015625
-0.05590685483870968,-0.21697998046875,-0.21697998046875
-0.055896438172043,-0.20709228515625,-0.20709228515625
-0.05588602150537634,-0.18536376953125,-0.18536376953125
-0.05587560483870967,-0.156646728515625,-0.15667724609375
-0.05586518817204301,-0.128204345703125,-0.128204345703125
-0.05585477150537634,-0.103546142578125,-0.10357666015625
-0.05584435483870968,-0.081695556640625,-0.081695556640625
-0.055833938172043,-0.060577392578125,-0.060577392578125
-0.05582352150537634,-0.040130615234375,-0.04010009765625
-0.05581310483870967,-0.021240234375,-0.021240234375
-0.05580268817204301,-0.004180908203125,-0.004180908203125
-0.05579227150537634,0.011871337890625,0.011871337890625
-0.05578185483870968,0.027374267578125,0.027374267578125
-0.055771438172043,0.0418701171875,0.041900634765625
-0.05576102150537634,0.055145263671875,0.055145263671875
